Album,Year,Song,Songwriter,Rating
Queen,1973,,,3.35
Queen,,Keep Yourself Alive,May,3.99
Queen,,Doing All Right,May/Staffell,3.68
Queen,,Great King Rat,Mercury,3.84
Queen,,My Fairy King,Mercury,3.66
Queen,,Liar,Mercury,3.89
Queen,,The Night Comes Down,May,3.46
Queen,,Modern Times Rock 'n' Roll,Taylor,3.2
Queen,,Son and Daughter,May,3.44
Queen,,Jesus,Mercury,3.35
Queen,,Seven Seas of Rhye (Study),Mercury,3.56
Queen II,1974,,,3.59
Queen II,,Procession,May,3.4
Queen II,,Father to Son,May,3.98
Queen II,,White Queen (As It Began),May,4.01
Queen II,,Some Day One Day,May,3.55
Queen II,,The Loser in the End,Taylor,3.35
Queen II,,Ogre Battle,Mercury,3.95
Queen II,,The Fairy Feller's Master-Stroke,Mercury,3.9
Queen II,,Nevermore,Mercury,3.88
Queen II,,The March of the Black Queen,Mercury,4.27
Queen II,,Funny How Love Is,Mercury,3.48
Queen II,,Seven Seas of Rhye,Mercury,3.56
Sheer Heart Attack,1974,,,3.67
Sheer Heart Attack,,Brighton Rock,May,4.04
Sheer Heart Attack,,Killer Queen,Mercury,4.47
Sheer Heart Attack,,Tenement Funster,Taylor,3.67
Sheer Heart Attack,,Flick of the Wrist,Mercury,3.94
Sheer Heart Attack,,Lily of the Valley,Mercury,3.73
Sheer Heart Attack,,Now I'm Here,May,3.87
Sheer Heart Attack,,In the Lap of the Gods,Mercury,3.61
Sheer Heart Attack,,Stone Cold Crazy,Queen,4.15
Sheer Heart Attack,,Dear Friends,May,3.32
Sheer Heart Attack,,Misfire,Deacon,3.52
Sheer Heart Attack,,Bring Back That Leroy Brown,Mercury,3.45
Sheer Heart Attack,,She Makes Me (Stormtrooper in Stilettos),May,3.45
Sheer Heart Attack,,In the Lap of the Gods... Revisited,Mercury,3.89
A Night at the Opera,1975,,,3.78
A Night at the Opera,,Death on Two Legs (Dedicated to...),Mercury,4.23
A Night at the Opera,,Lazing on a Sunday Afternoon,Mercury,3.68
A Night at the Opera,,I'm in Love with My Car,Taylor,3.55
A Night at the Opera,,You're My Best Friend,Deacon,4.12
A Night at the Opera,,'39,May,3.96
A Night at the Opera,,Sweet Lady,May,3.41
A Night at the Opera,,Seaside Rendezvous,Mercury,3.63
A Night at the Opera,,The Prophet's Song,May,4
A Night at the Opera,,Love of My Life,Mercury,4.09
A Night at the Opera,,Good Company,May,3.43
A Night at the Opera,,Bohemian Rhapsody,Mercury,4.63
A Night at the Opera,,God Save the Queen,Traditional/May,3.32
A Day at the Races,1976,,,3.59
A Day at the Races,,Tie Your Mother Down,May,3.99
A Day at the Races,,You Take My Breath Away,Mercury,3.83
A Day at the Races,,Long Away,May,3.66
A Day at the Races,,The Millionaire Waltz,Mercury,3.89
A Day at the Races,,You and I,Deacon,3.64
A Day at the Races,,Somebody to Love,Mercury,4.43
A Day at the Races,,White Man,May,3.47
A Day at the Races,,Good Old-Fashioned Lover Boy,Mercury,4.05
A Day at the Races,,Drowse,Taylor,3.31
A Day at the Races,,Teo Torriatte (Let Us Cling Together),May,3.69
News of the World,1977,,,3.46
News of the World,,We Will Rock You,May,3.84
News of the World,,We Are the Champions,Mercury,4.1
News of the World,,Sheer Heart Attack,Taylor,3.6
News of the World,,"All Dead, All Dead",May,3.77
News of the World,,Spread Your Wings,Deacon,3.98
News of the World,,Fight from the Inside,Taylor,3.33
News of the World,,"Get Down, Make Love",Mercury,3.29
News of the World,,Sleeping on the Sidewalk,May,3.17
News of the World,,Who Needs You,Deacon,3.3
News of the World,,It's Late,May,3.84
News of the World,,My Melancholy Blues,Mercury,3.63
Jazz,1978,,,3.48
Jazz,,Mustapha,Mercury,3.47
Jazz,,Fat Bottomed Girls,May,3.85
Jazz,,Jealousy,Mercury,3.69
Jazz,,Bicycle Race,Mercury,3.95
Jazz,,If You Can't Beat Them,Deacon,3.43
Jazz,,Let Me Entertain You,Mercury,3.51
Jazz,,Dead on Time,May,3.61
Jazz,,In Only Seven Days,Deacon,3.43
Jazz,,Dreamer's Ball,May,3.38
Jazz,,Fun It,Taylor,3.03
Jazz,,Leaving Home Ain't Easy,May,3.28
Jazz,,Don't Stop Me Now,Mercury,4.49
Jazz,,More of That Jazz,Taylor,3.31
The Game,1980,,,3.4
The Game,,Play the Game,Mercury,3.96
The Game,,Dragon Attack,May,3.71
The Game,,Another One Bites the Dust,Deacon,4.28
The Game,,Need Your Loving Tonight,Deacon,3.5
The Game,,Crazy Little Thing Called Love,Mercury,4.03
The Game,,Rock It (Prime Jive),Taylor,3.18
The Game,,Don't Try Suicide,Mercury,2.87
The Game,,Sail Away Sweet Sister,May,3.6
The Game,,Coming Soon,Taylor,3.1
The Game,,Save Me,May,3.88
Flash Gordon,1980,,,2.33
Flash Gordon,,Flash,Mercury,3.8
Flash Gordon,,In the Space Capsule (The Love Theme),May,2.67
Flash Gordon,,Ming's Theme,Mercury,2.27
Flash Gordon,,The Ring (Hypnotic Seduction of Dale),May,2.13
Flash Gordon,,Football Fight,Mercury,3.03
Flash Gordon,,In the Death Cell (Love Theme Reprise),May,2.5
Flash Gordon,,Execution of Flash,Mercury,2.48
Flash Gordon,,The Kiss (Aura Resurrects Flash),May,2.7
Flash Gordon,,Arboria (Planet of the Tree Men),Deacon,2.13
Flash Gordon,,Escape from the Swamp,Taylor,2.34
Flash Gordon,,Flash to the Rescue,Mercury,2.55
Flash Gordon,,Vultan's Theme (Attack of the Hawk Men),Mercury,2.65
Flash Gordon,,Battle Theme,May,3.07
Flash Gordon,,The Wedding March,Taylor,2.69
Flash Gordon,,Marriage of Dale and Ming (and Flash Approaching),May,2.39
Flash Gordon,,Crash Dive on Ming City,May,2.29
Flash Gordon,,The Hero,May,2.64
Flash Gordon,,Ending (Flash and Dale),May,3.3
Hot Space,1982,,,2.6
Hot Space,,Staying Power,Mercury,3
Hot Space,,Dancer,Mercury,2.84
Hot Space,,Back Chat,Deacon,3.12
Hot Space,,Body Language,Mercury,2.45
Hot Space,,Action This Day,Taylor,2.68
Hot Space,,Put Out the Fire,May,2.85
Hot Space,,Life Is Real (Song for Lennon),Mercury,3.07
Hot Space,,Calling All Girls,Taylor,2.79
Hot Space,,Las Palabras de Amor (The Words of Love),May,3.11
Hot Space,,Cool Cat,Deacon/Mercury,3.19
Hot Space,,Under Pressure,Queen/Bowie,4.5
The Works,1984,,,3.25
The Works,,Radio Ga Ga,Taylor,4.1
The Works,,Tear It Up,May,3.34
The Works,,It's a Hard Life,Mercury,3.86
The Works,,Man on the Prowl,Mercury,3.04
The Works,,Machines (Or 'Back to Humans'),May/Taylor,2.97
The Works,,I Want to Break Free,Deacon,4.13
The Works,,Keep Passing the Open Windows,Mercury,3.41
The Works,,Hammer to Fall,May,3.95
A Kind of Magic,1986,,,3.47
A Kind of Magic,,One Vision,Queen/May,3.93
A Kind of Magic,,A Kind of Magic,Taylor,3.94
A Kind of Magic,,One Year of Love,Deacon,3.06
A Kind of Magic,,Pain Is So Close to Pleasure,Mercury/Deacon,3.02
A Kind of Magic,,Friends Will Be Friends,Mercury/Deacon,3.57
A Kind of Magic,,Who Wants to Live Forever,May,4.13
A Kind of Magic,,Gimme the Prize (Kurgan's Theme),May,3.09
A Kind of Magic,,Don't Lose Your Head,Taylor,2.89
A Kind of Magic,,Princes of the Universe,Mercury,3.64
The Miracle,1989,,,3.04
The Miracle,,Party,Queen,2.77
The Miracle,,Khashoggi's Ship,Queen,2.99
The Miracle,,The Miracle,Queen,3.69
The Miracle,,I Want It All,Queen [May],4.08
The Miracle,,The Invisible Man,Queen [Taylor],3.43
The Miracle,,Breakthru,Queen [May],3.75
The Miracle,,Rain Must Fall,Queen [Mercury],303
The Miracle,,Scandal,Queen [May],3.62
The Miracle,,My Baby Does Me,Queen,2.73
The Miracle,,Was It All Worth It,Queen [Mercury],3.64
Innuendo,1991,,,3.66
Innuendo,,Innuendo,Queen [Mercury/Taylor],4.48
Innuendo,,I'm Going Slightly Mad,Queen [Mercury],4.1
Innuendo,,Headlong,Queen [May],3.77
Innuendo,,I Can't Live with You,Queen [May],3.47
Innuendo,,Don't Try So Hard,Queen [Mercury],3.72
Innuendo,,Ride the Wild Wind,Queen [Taylor],3.5
Innuendo,,All God's People,Queen [Mercury/Moran],3.18
Innuendo,,These Are the Days of Our Lives,Queen [Taylor],4
Innuendo,,Delilah,Queen [Mercury],3.13
Innuendo,,The Hitman,Queen [May/Mercury/Taylor],3.54
Innuendo,,Bijou,Queen [May/Mercury],3.69
Innuendo,,The Show Must Go On,Queen [May],4.57
